Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.2.0	activemq-5.3.0	25	15	activemq-core/src/main/java/org/apache/activemq/management/StatsImpl.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/network/CompositeDemandForwardingBridge.java
activemq	activemq-5.2.0	activemq-5.3.0	31	8	activemq-core/src/main/java/org/apache/activemq/network/ConduitBridge.java
activemq	activemq-5.2.0	activemq-5.3.0	10	4	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridge.java
activemq	activemq-5.2.0	activemq-5.3.0	269	93	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java
activemq	activemq-5.2.0	activemq-5.3.0	41	32	activemq-core/src/main/java/org/apache/activemq/network/DemandSubscription.java
activemq	activemq-5.2.0	activemq-5.3.0	27	5	activemq-core/src/main/java/org/apache/activemq/network/DiscoveryNetworkConnector.java
activemq	activemq-5.2.0	activemq-5.3.0	6	9	activemq-core/src/main/java/org/apache/activemq/network/DurableConduitBridge.java
activemq	activemq-5.2.0	activemq-5.3.0	3	1	activemq-core/src/main/java/org/apache/activemq/network/MulticastNetworkConnector.java
activemq	activemq-5.2.0	activemq-5.3.0	52	0	activemq-core/src/main/java/org/apache/activemq/network/NetworkBridgeConfiguration.java
activemq	activemq-5.2.0	activemq-5.3.0	39	33	activemq-core/src/main/java/org/apache/activemq/network/NetworkConnector.java
activemq	activemq-5.2.0	activemq-5.3.0	10	0	activemq-core/src/main/java/org/apache/activemq/openwire/OpenWireFormat.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/openwire/v1/RemoveSubscriptionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/openwire/v1/SubscriptionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/openwire/v2/RemoveSubscriptionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/openwire/v2/SubscriptionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/openwire/v3/RemoveSubscriptionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/openwire/v3/SubscriptionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	139	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQBlobMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQBytesMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQDestinationMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQMapMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQObjectMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQQueueMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQStreamMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	99	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQTempDestinationMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQTempQueueMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQTempTopicMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQTextMessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ActiveMQTopicMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	118	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/BaseCommandMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	645	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/BaseDataStreamMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	129	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/BrokerIdMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	206	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/BrokerInfoMarshaller.java
